Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
22.66,0,0.1990776069485818714279476958,0.199077606948582,0.198523478512844,0.199077606948582,0.198523478512844,0,0.0000000,0.0000000,0,5.3448489808822835910581416503,76.02263551372139509941391652,80.99257069467237617981623329,2232519000
22.67,0,0.1990752488745096330630948007,0.19907524887451,0.198521593494487,0.19907524887451,0.198521593494487,0,0.0000000,0.0000000,0,5.3438742841443963340931258139,76.011403893945214691632963205,80.985984602472241768127641,2233504000
22.68,0,0.1990728927818190073292345537,0.199072892781819,0.198519709851274,0.199072892781819,0.198519709851274,0,0.0000000,0.0000000,0,5.3428996208553890494987482363,76.000194131819755094190118726,80.97941218506182391964560099,2234490000
22.69,0,0.1990705406785745968173380241,0.199070540678575,0.198517829592306,0.199070540678575,0.198517829592306,0,0.0000000,0.0000000,0,5.3419260620723617392803626134,75.988978129667513121429984365,80.97283502362304120497847001,2235475000
22.70,0,0.1990681905568288089764557221,0.199068190556829,0.198515950710668,0.199068190556829,0.198515950710668,0,0.0000000,0.0000000,0,5.3409525333618971096154138406,75.977764624712948579510246364,80.96625952699180308795488903,2236460000
22.71,0,0.1990658434206429350620516029,0.199065843420643,0.198514074211453,0.199065843420643,0.198514074211453,0,0.0000000,0.0000000,0,5.3399789330275151625092556143,75.9665376753064624782919532,80.95967590615923252423523616,2237445000
22.72,0,0.1990634982660721737786401320,0.199063498266072,0.198512199091747,0.199063498266072,0.198512199091747,0,0.0000000,0.0000000,0,5.3390065321507629280963100301,75.955372636201000856101109333,80.95312965657103698973012736,2238430000
22.73,0,0.1990611571011806277171923785,0.199061157101181,0.198510327360641,0.199061157101181,0.198510327360641,0,0.0000000,0.0000000,0,5.3380340562733031125540219864,75.944168093228412359153928988,80.94655912424606308643833166,2239416000
22.74,0,0.1990588179180198043267588525,0.19905881791802,0.198508457011211,0.19905881791802,0.198508457011211,0,0.0000000,0.0000000,0,5.3370623764930200418447223764,75.932982697631849209630627858,80.93999982660872105014728112,2240401000
22.75,0,0.1990564817206505948628035093,0.199056481720651,0.198506589048541,0.199056481720651,0.198506589048541,0,0.0000000,0.0000000,0,5.3360904183349964221458560991,75.921778866051186505770460839,80.93342947925642455660205675,2241386000
22.76,0,0.1990541591396343967449375398,0.199054159139634,0.198504734104213,0.199054159139634,0.198504734104213,0,0.0000000,0.0000000,0,5.3351190801024079315057996482,75.910625341472954497107055767,80.92688981943979818498329656,2242371000
22.77,0,0.1990518289140208251739601415,0.199051828914021,0.198502870918296,0.199051828914021,0.198502870918296,0,0.0000000,0.0000000,0,5.3341477329174759240159523196,75.899431459492932016676696093,80.92032526399842173116765028,2243357000
22.78,0,0.1990495006703678662339753917,0.199049500670368,0.198501009118363,0.199049500670368,0.198501009118363,0,0.0000000,0.0000000,0,5.3331775022804874298107362117,75.88826768109722672061994432,80.91377839552237603804271266,2244342000
22.79,0,0.1990471860432396186400800154,0.19904718604324,0.198499160339994,0.19904718604324,0.198499160339994,0,0.0000000,0.0000000,0,5.3322072593298781269385278197,75.877089598641280500260307396,80.90722276061699189501544238,2245327000
22.80,0,0.1990448637716850875530516311,0.199044863771685,0.198497303323249,0.199044863771685,0.198497303323249,0,0.0000000,0.0000000,0,5.3312374567058350455337492405,75.865960222442412865368956956,80.90069695406641346777134479,2246312000
22.81,0,0.1990425551167688778521341997,0.199042555116769,0.198495459330203,0.199042555116769,0.198495459330203,0,0.0000000,0.0000000,0,5.3302677383902395396877997685,75.854793042541886739432054319,80.8941477211557262590170216,2247298000
22.82,0,0.1990402378135370833625982258,0.199040237813537,0.198493606096909,0.199040237813537,0.198493606096909,0,0.0000000,0.0000000,0,5.3292986027103472874490559003,75.843640077018161491654223342,80.88760680288918772719714718,2248283000
22.83,0,0.1990379351310596115546587394,0.19903793513106,0.198491766893444,0.19903793513106,0.198491766893444,0,0.0000000,0.0000000,0,5.3283298022572253189519397333,75.832487149378698994317665104,80.88106564517155934752011434,2249268000
22.84,0,0.1990356238003791449180791312,0.199035623800379,0.198489918451853,0.199035623800379,0.198489918451853,0,0.0000000,0.0000000,0,5.3273610810614693122448277617,75.821375329794558273727824154,80.87454991695183783149486435,2250253000
22.85,0,0.1990333250825595983721249414,0.19903332508256,0.198488082034202,0.19903332508256,0.198488082034202,0,0.0000000,0.0000000,0,5.326393037450046297462142083,75.810234096627616233855091335,80.86801537060643148676320745,2251238000
22.86,0,0.1990310197246552696285232780,0.199031019724655,0.198486238388545,0.199031019724655,0.198486238388545,0,0.0000000,0.0000000,0,5.3254252239650176286952819945,75.79909714061799083206229877,80.86148328729447426233964489,2252224000
22.87,0,0.1990287269797238609755470332,0.199028726979724,0.198484406768935,0.199028726979724,0.198484406768935,0,0.0000000,0.0000000,0,5.3244574846855789839926239894,75.787994557007890527774331393,80.85497244260315430045770386,2253209000
22.88,0,0.1990264265908162688294377803,0.199026426590816,0.19848256691942,0.199026426590816,0.19848256691942,0,0.0000000,0.0000000,0,5.3234903450297787455746357661,75.776870228672123183500148338,80.84844758146662312312255981,2254194000
22.89,0,0.1990241388149928766939107873,0.199024138814993,0.198480739098051,0.199024138814993,0.198480739098051,0,0.0000000,0.0000000,0,5.3225236762167355633606254196,75.765750935389940093605666855,80.84192540051787845039656321,2255179000
22.90,0,0.1990218540258083085248835564,0.199021854025808,0.198478913679376,0.199021854025808,0.198478913679376,0,0.0000000,0.0000000,0,5.3215569036481378195710606467,75.754624986717023879799095764,80.83539920265597647756110396,2256165000
22.91,0,0.1990195722233178643223560875,0.199019572223318,0.198477090664438,0.199019572223318,0.198477090664438,0,0.0000000,0.0000000,0,5.3205909256262155162112951442,75.743528517751951636101028376,80.82889049420410970144990603,2257150000
